customer_id,company_name,industry,company_segment,region,acquisition_channel,sales_owner,signup_date,first_contract_date,initial_product_id,current_product_id,lifecycle_status
C0001,Vertex Systems 001,Manufacturing,Mid-Market,South,Inbound,Neha Kapoor,2022-11-01,2022-11-01,P001,P001,Active
C0002,DigiCore Digital 002,Manufacturing,Large Enterprise,East,Inbound,Neha Kapoor,2022-06-01,2022-06-01,P002,P002,Active
C0003,Nexora Labs 003,Manufacturing,Mid-Market,West,Partner,Aditi Rao,2022-11-01,2022-11-01,P001,P001,Active
C0004,Everstone Industries 004,Financial Services,Mid-Market,South,Inbound,Aditi Rao,2022-01-01,2022-01-01,P001,P001,Active
C0005,Westlake Networks 005,Retail,Mid-Market,North,Events,Meera Iyer,2022-01-01,2022-01-01,P001,P002,Active
C0006,Cobalt Technologies 006,Financial Services,Mid-Market,North,Referral,Sara Khan,2022-07-01,2022-07-01,P001,P001,Active
C0007,Westlake Solutions 007,Financial Services,Mid-Market,Central,Events,Vikram Shah,2022-11-01,2022-11-01,P001,P001,Active
C0008,PrimeArc Labs 008,Manufacturing,Mid-Market,South,Partner,Meera Iyer,2022-02-01,2022-02-01,P001,P002,Active
C0009,PrimeArc Digital 009,Retail,Mid-Market,West,Inbound,Aditi Rao,2022-11-01,2022-11-01,P001,P001,Active
C0010,Quantara Enterprises 010,IT Services,Large Enterprise,South,Partner,Aditi Rao,2022-08-01,2022-08-01,P002,P002,Active
C0011,HexaWorks Consulting 011,Financial Services,Large Enterprise,East,Events,Vikram Shah,2022-12-01,2022-12-01,P002,P002,Active
C0012,UrbanStack Solutions 012,Professional Services,Mid-Market,North,Outbound,Rahul Mehta,2022-08-01,2022-08-01,P001,P001,Active
C0013,TrueNorth Digital 013,IT Services,Mid-Market,West,Partner,Meera Iyer,2022-06-01,2022-06-01,P001,P001,Active
C0014,Everstone Digital 014,Retail,Mid-Market,North,Partner,Aditi Rao,2022-10-01,2022-10-01,P001,P001,Active
C0015,SkyGrid Consulting 015,IT Services,Mid-Market,North,Referral,Meera Iyer,2022-07-01,2022-07-01,P001,P002,Active
C0016,FinAxis Consulting 016,Financial Services,Large Enterprise,South,Events,Meera Iyer,2022-12-01,2022-12-01,P002,P002,Active
C0017,TrueNorth Networks 017,IT Services,Large Enterprise,West,Partner,Aditi Rao,2022-07-01,2022-07-01,P002,P002,Churned
C0018,Riverbend Industries 018,IT Services,Large Enterprise,North,Referral,Aditi Rao,2022-12-01,2022-12-01,P002,P002,Active
C0019,UrbanStack Digital 019,Professional Services,Large Enterprise,West,Outbound,Neha Kapoor,2022-08-01,2022-08-01,P002,P002,Active
C0020,Jupiter Industries 020,Manufacturing,Mid-Market,North,Events,Arjun Nair,2022-07-01,2022-07-01,P001,P002,Active
C0021,Orbit Services 021,Professional Services,Mid-Market,East,Events,Meera Iyer,2022-10-01,2022-10-01,P001,P002,Active
C0022,Jupiter Solutions 022,Financial Services,Large Enterprise,Central,Partner,Aditi Rao,2022-06-01,2022-06-01,P002,P002,Active
C0023,Indus Systems 023,Professional Services,Mid-Market,East,Inbound,Sara Khan,2022-07-01,2022-07-01,P001,P001,Active
C0024,Indus Industries 024,IT Services,Large Enterprise,South,Inbound,Aditi Rao,2022-04-01,2022-04-01,P002,P002,Active
C0025,Aarav Labs 025,Professional Services,Mid-Market,South,Outbound,Neha Kapoor,2022-04-01,2022-04-01,P001,P001,Active
C0026,Meridian Services 026,Professional Services,Large Enterprise,East,Referral,Sara Khan,2022-12-01,2022-12-01,P002,P002,Active
C0027,Greenline Services 027,Manufacturing,Large Enterprise,North,Outbound,Neha Kapoor,2022-11-01,2022-11-01,P002,P002,Active
C0028,Cobalt Consulting 028,Manufacturing,Mid-Market,West,Partner,Aditi Rao,2022-11-01,2022-11-01,P001,P001,Active
C0029,FinAxis Services 029,Manufacturing,Mid-Market,South,Outbound,Arjun Nair,2022-10-01,2022-10-01,P001,P001,Active
C0030,Jupiter Digital 030,Manufacturing,Large Enterprise,East,Referral,Meera Iyer,2022-06-01,2022-06-01,P002,P002,Active
C0031,Everstone Digital 031,Financial Services,Large Enterprise,North,Partner,Meera Iyer,2022-03-01,2022-03-01,P002,P002,Active
C0032,Everstone Services 032,IT Services,Large Enterprise,South,Inbound,Aditi Rao,2022-07-01,2022-07-01,P002,P002,Active
C0033,KiteBridge Networks 033,Manufacturing,Large Enterprise,North,Outbound,Rahul Mehta,2022-10-01,2022-10-01,P002,P002,Churned
C0034,Vertex Networks 034,Financial Services,Large Enterprise,West,Events,Vikram Shah,2022-06-01,2022-06-01,P002,P002,Churned
C0035,Everstone Industries 035,Financial Services,Large Enterprise,East,Outbound,Rahul Mehta,2022-07-01,2022-07-01,P002,P002,Active
C0036,Lumina Industries 036,Manufacturing,Mid-Market,North,Inbound,Aditi Rao,2022-02-01,2022-02-01,P001,P002,Active
C0037,Vertex Networks 037,Financial Services,Mid-Market,South,Inbound,Sara Khan,2022-08-01,2022-08-01,P001,P001,Active
C0038,Meridian Networks 038,Professional Services,Large Enterprise,Central,Events,Meera Iyer,2022-06-01,2022-06-01,P002,P002,Active
C0039,Zenith Services 039,Manufacturing,Mid-Market,West,Outbound,Rahul Mehta,2022-11-01,2022-11-01,P001,P001,Active
C0040,Indus Labs 040,Healthcare,Mid-Market,North,Events,Vikram Shah,2022-04-01,2022-04-01,P001,P002,Active
C0041,Quantara Systems 041,Manufacturing,Mid-Market,West,Inbound,Neha Kapoor,2022-09-01,2022-09-01,P001,P001,Active
C0042,KiteBridge Technologies 042,Professional Services,Mid-Market,West,Referral,Sara Khan,2022-01-01,2022-01-01,P001,P001,Active
C0043,Everstone Industries 043,Professional Services,Large Enterprise,South,Outbound,Arjun Nair,2022-04-01,2022-04-01,P002,P002,Active
C0044,Zenith Systems 044,Professional Services,Mid-Market,North,Inbound,Sara Khan,2022-09-01,2022-09-01,P001,P001,Active
C0045,Greenline Services 045,Manufacturing,Mid-Market,North,Partner,Meera Iyer,2022-08-01,2022-08-01,P001,P001,Active
C0046,SkyGrid Systems 046,IT Services,Mid-Market,Central,Partner,Vikram Shah,2022-01-01,2022-01-01,P001,P002,Active
C0047,Lumina Enterprises 047,IT Services,Large Enterprise,West,Outbound,Arjun Nair,2022-08-01,2022-08-01,P002,P002,Churned
C0048,HexaWorks Labs 048,Professional Services,Mid-Market,North,Inbound,Sara Khan,2022-06-01,2022-06-01,P001,P001,Active
C0049,HexaWorks Enterprises 049,Professional Services,Mid-Market,West,Partner,Aditi Rao,2022-07-01,2022-07-01,P001,P002,Active
C0050,TrueNorth Digital 050,IT Services,Mid-Market,South,Inbound,Sara Khan,2022-11-01,2022-11-01,P001,P001,Active
C0051,BluePeak Industries 051,Professional Services,Mid-Market,Central,Outbound,Rahul Mehta,2022-10-01,2022-10-01,P001,P001,Active
C0052,Westlake Enterprises 052,Healthcare,Mid-Market,South,Outbound,Rahul Mehta,2022-04-01,2022-04-01,P001,P001,Churned
C0053,FinAxis Services 053,Financial Services,Large Enterprise,West,Partner,Vikram Shah,2022-11-01,2022-11-01,P002,P002,Active
C0054,Greenline Consulting 054,Manufacturing,Mid-Market,East,Partner,Meera Iyer,2022-12-01,2022-12-01,P001,P001,Active
